Name,Email,User Name,Notes,Attachments,Attachment Summary,University,Degree,Learning Habits,Career Goals,Struggling Concepts,Meet-up Distance,Meet-up Mode,Preference Categories,University : Weight,University : Score,University : Percent,Degree : Weight,Degree : Score,Degree : Percent,Learning Habits : Weight,Learning Habits : Score,Learning Habits : Percent,Struggling Concepts : Weight,Struggling Concepts : Score,Struggling Concepts : Percent,Career Trajectories : Weight,Career Trajectories : Score,Career Trajectories : Percent,Meet-up Distance : Weight,Meet-up Distance : Score,Meet-up Distance : Percent,Meet-up Mode : Weight,Meet-up Mode : Score,Meet-up Mode : Percent,Learning Style,Compatibility Score,Score Total,Student Matches (Student A),Student Matches (Student B),Student Matches,Groups (Members),Groups (Best Matched Students (AI)),Groups,Student-Group Matches,Student-Group Matches 2
Oluwaseun Adeyemi,oluwaseun.adeyemi@email.com,oluwaseun.adeyemi,,,,University of Michigan – Ann Arbor,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,,"Ananya Singh ↔ Oluwaseun Adeyemi,Chinonso Okafor ↔ Oluwaseun Adeyemi,Elena Popova ↔ Oluwaseun Adeyemi,Grace Lee ↔ Oluwaseun Adeyemi,Hiroshi Sato ↔ Oluwaseun Adeyemi,Ivan Petrov ↔ Oluwaseun Adeyemi,Kwame Boateng ↔ Oluwaseun Adeyemi,Laila Rahman ↔ Oluwaseun Adeyemi,Leila Haddad ↔ Oluwaseun Adeyemi,Lucas Evans ↔ Oluwaseun Adeyemi,Mariam Habib ↔ Oluwaseun Adeyemi,Maya Cohen ↔ Oluwaseun Adeyemi,Maya Sharma ↔ Oluwaseun Adeyemi",,,,"Emily Clark ↔ Oluwaseun Adeyemi,Elena Popova ↔ Oluwaseun Adeyemi,Grace Lee ↔ Oluwaseun Adeyemi","Oluwaseun Adeyemi ↔ Kwame Boateng ↔ Zara Ali,Oluwaseun Adeyemi ↔ Ivan Petrov ↔ Zara Ali,Oluwaseun Adeyemi ↔ Aisha Abdi ↔ Sophie Dubois",
Omar Al-Masri,omar.almasri@email.com,omar.almasri,,,,University of Michigan – Ann Arbor,Medicine,"Clinical rotations, group study",Cardiologist,Cardiology,9 miles,Online,"Learning Habits,Struggling Concepts,Career Trajectories",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,,,,,,,,
Omar Farouk,omar.farouk@email.com,omar.farouk,,,,Cornell University,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,9 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,,"Aaliyah Mohammed ↔ Omar Farouk,Ahmed El-Sayed ↔ Omar Farouk,Ahmed Hassan ↔ Omar Farouk,Alexei Ivanov ↔ Omar Farouk,Ava Williams ↔ Omar Farouk,Aya Nakamura ↔ Omar Farouk,Dariusz Kowalski ↔ Omar Farouk,Diego Torres ↔ Omar Farouk,Emily Brown ↔ Omar Farouk,Ethan Johnson ↔ Omar Farouk,Fatima Al-Farsi ↔ Omar Farouk,Hana Kimura ↔ Omar Farouk,Helena Costa ↔ Omar Farouk,Ivan Horvat ↔ Omar Farouk,Kevin Nguyen ↔ Omar Farouk,Leah Stein ↔ Omar Farouk,Liam O'Connor ↔ Omar Farouk,Lina Svensson ↔ Omar Farouk,Linh Tran ↔ Omar Farouk,Lucas Meyer ↔ Omar Farouk,Maria Rodriguez ↔ Omar Farouk,Mateusz Zielinski ↔ Omar Farouk,Mei Chen ↔ Omar Farouk",,,,"Lina Svensson ↔ Omar Farouk,Fatima Al-Farsi ↔ Omar Farouk,Linh Tran ↔ Omar Farouk,Diego Torres ↔ Omar Farouk,Lucas Meyer ↔ Omar Farouk","Omar Farouk ↔ Ahmed Hassan ↔ Anna Müller,Omar Farouk ↔ Jacob Green ↔ Pedro Alvarez,Omar Farouk ↔ Dariusz Kowalski ↔ Mateo Silva",
Omar Hassan,omar.hassan@email.com,omar.hassan,,,,California Institute of Technology (Caltech),Civil Engineering,"Prefers lectures, visual aids",Urban planner,,12 miles,In Person,"Degree,Meet-up Distance,Meet-up Mode",1,70,13,3,100,19,2,90,17,1,70,13,2,90,17,3,100,19,3,100,19,,,520,,"Finn Schröder ↔ Omar Hassan,Jana Peters ↔ Omar Hassan",,,,,,
Omar Khaled,omar.khaled@email.com,omar.khaled,,,,Georgia Institute of Technology,Business Administration,"Case studies, presentations",Business consultant,Corporate strategy,8 miles,Online,"University,Degree,Learning Habits",3,100,19,2,90,17,2,90,17,1,70,13,3,100,19,2,90,17,2,90,17,Reading/Writing,,540,,,,,,,,
Omar Nasser,omar.nasser@email.com,omar.nasser,,,,Purdue University,Business Administration,"Case studies, presentations",Business consultant,Corporate strategy,8 miles,Online,"University,Degree,Learning Habits",3,100,19,2,90,17,2,90,17,1,70,13,3,100,19,2,90,17,2,90,17,Reading/Writing,,540,,,,,,,,
Oscar Lindberg,oscar.lindberg@email.com,oscar.lindberg,Notes not provided,,,Massachusetts Institute of Technology (MIT),Biology,"Group study, flashcards",Research scientist,Genetics,8 miles,In Person,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode,Other",2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,,"Andres Gomez ↔ Oscar Lindberg,Arjun Desai ↔ Oscar Lindberg,Benjamin Cohen ↔ Oscar Lindberg,Gabriel Souza ↔ Oscar Lindberg,Jamal Carter ↔ Oscar Lindberg,Jin Park ↔ Oscar Lindberg,Juan Martinez ↔ Oscar Lindberg,Marta Kowalczyk ↔ Oscar Lindberg",,None,None,"Amina Yusuf ↔ Oscar Lindberg,Jin Park ↔ Oscar Lindberg,Andres Gomez ↔ Oscar Lindberg","Oscar Lindberg ↔ Amina Yusuf ↔ Julia Nowak,Oscar Lindberg ↔ Amina Yusuf ↔ Nia Williams,Oscar Lindberg ↔ Julia Nowak ↔ Mohammed Hassan",
Paul Zimmermann,paul.zimmermann@email.com,paul.zimmermann,,,,Florida International University,Political Science,"Debate, policy analysis",Policy advisor,Struggles with statistics,10 miles,Online,"Degree,Meet-up Distance",3,100,20,2,90,18,1,70,14,1,70,14,2,90,18,2,90,18,2,90,18,Visual,,510,,,,,,,,
Pedro Alvarez,pedro.alvarez@email.com,pedro.alvarez,,,,University of Michigan – Ann Arbor,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,,"Aaliyah Mohammed ↔ Pedro Alvarez,Ahmed El-Sayed ↔ Pedro Alvarez,Ahmed Hassan ↔ Pedro Alvarez,Alexei Ivanov ↔ Pedro Alvarez,Anna Müller ↔ Pedro Alvarez,Ava Williams ↔ Pedro Alvarez,Dariusz Kowalski ↔ Pedro Alvarez,Diego Torres ↔ Pedro Alvarez,Emily Brown ↔ Pedro Alvarez,Ethan Johnson ↔ Pedro Alvarez,Fatima Al-Farsi ↔ Pedro Alvarez,Hana Kimura ↔ Pedro Alvarez,Helena Costa ↔ Pedro Alvarez,Ivan Horvat ↔ Pedro Alvarez,Jacob Green ↔ Pedro Alvarez,Kevin Nguyen ↔ Pedro Alvarez,Leah Stein ↔ Pedro Alvarez,Liam O'Connor ↔ Pedro Alvarez,Lina Svensson ↔ Pedro Alvarez,Linh Tran ↔ Pedro Alvarez,Lucas Meyer ↔ Pedro Alvarez,Maria Rodriguez ↔ Pedro Alvarez,Mateo Silva ↔ Pedro Alvarez,Mateusz Zielinski ↔ Pedro Alvarez",,,,"Jacob Green ↔ Pedro Alvarez,Anna Müller ↔ Pedro Alvarez,Linh Tran ↔ Pedro Alvarez,Kevin Nguyen ↔ Pedro Alvarez","Pedro Alvarez ↔ Aya Nakamura ↔ Lucas Meyer,Pedro Alvarez ↔ Aya Nakamura ↔ Fatima Al-Farsi,Pedro Alvarez ↔ Ahmed Hassan ↔ Aya Nakamura",
Pedro Costa,pedro.costa@email.com,pedro.costa,,,,Massachusetts Institute of Technology (MIT),Mathematics,"Problem sets, online tutorials",Statistician,Probability theory,11 miles,Online,"Degree,Learning Habits,Struggling Concepts,Meet-up Mode",2,90,17,2,90,17,3,100,19,1,70,13,2,90,17,3,100,19,3,100,19,Visual,,540,,,,,,,,
Pedro Santos,pedro.santos@email.com,pedro.santos,,,,"University of California, Los Angeles",Mathematics,"Problem sets, online tutorials",Statistician,Probability theory,11 miles,In Person,"Degree,Learning Habits,Struggling Concepts,Meet-up Mode",2,90,17,2,90,17,3,100,19,1,70,13,2,90,17,3,100,19,3,100,19,Visual,,540,,,,,,,,
Pedro Silva,pedro.silva@email.com,pedro.silva,,,,Cornell University,Mathematics,"Problem sets, online tutorials",Data analyst,Statistics,12 miles,Online,"Degree,Learning Habits,Struggling Concepts",2,90,17,2,90,17,3,100,19,1,70,13,2,90,17,3,100,19,3,100,19,Visual,,540,,,,,,,,
Philipp Arnold,philipp.arnold@email.com,philipp.arnold,,,,University of Michigan – Ann Arbor,Architecture,"Studio work, design critiques",Architect,Struggles with design software,6 miles,In Person,"University,Struggling Concepts,Meet-up Distance,Meet-up Mode",0,0,0,2,90,20,3,100,22,3,100,22,1,70,15,3,100,22,3,100,22,2,,460,,,,,,,,
Priya Patel,priya.patel@email.com,priya.patel,,,,Carnegie Mellon University,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,,"Ananya Singh ↔ Priya Patel,Chinonso Okafor ↔ Priya Patel,Elena Popova ↔ Priya Patel,Grace Lee ↔ Priya Patel,Hiroshi Sato ↔ Priya Patel,Isabella Rossi ↔ Priya Patel,Kwame Boateng ↔ Priya Patel,Laila Rahman ↔ Priya Patel,Leila Haddad ↔ Priya Patel,Lucas Evans ↔ Priya Patel,Mariam Habib ↔ Priya Patel,Maya Cohen ↔ Priya Patel,Maya Sharma ↔ Priya Patel",,,,Chinonso Okafor ↔ Priya Patel,"Priya Patel ↔ Emily Clark ↔ Svetlana Ivanova,Priya Patel ↔ Ivan Petrov ↔ Maya Sharma,Priya Patel ↔ Kwame Boateng ↔ Laila Rahman",
Priya Singh,priya.singh@email.com,priya.singh,,,,Massachusetts Institute of Technology (MIT),Electrical Engineering,"Prefers problem sets, group study",Work in robotics,,11 miles,In Person,"Learning Habits,Struggling Concepts,Meet-up Mode",2,90,17,2,90,17,3,100,19,3,100,19,1,70,13,1,70,13,1,70,13,,,520,,,,,,,,
Rashid Khan,rashid.khan@email.com,rashid.khan,,,,"University of California, San Diego",Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,9 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,,"Aisha Abdi ↔ Rashid Khan,Aisha Bello ↔ Rashid Khan,Ava Thompson ↔ Rashid Khan,Carlos Ramirez ↔ Rashid Khan,David Kim ↔ Rashid Khan,Emily Clark ↔ Rashid Khan,Fatoumata Diallo ↔ Rashid Khan,Isabella Rossi ↔ Rashid Khan,Ivan Petrov ↔ Rashid Khan,Kwame Boateng ↔ Rashid Khan,Laila Rahman ↔ Rashid Khan,Leila Haddad ↔ Rashid Khan,Lucas Evans ↔ Rashid Khan,Mariam Habib ↔ Rashid Khan,Maya Cohen ↔ Rashid Khan,Maya Sharma ↔ Rashid Khan",,,,"Leila Haddad ↔ Rashid Khan,Ava Thompson ↔ Rashid Khan","Rashid Khan ↔ Grace Lee ↔ Ravi Kumar,Rashid Khan ↔ Emily Clark ↔ Grace Lee,Rashid Khan ↔ Grace Lee ↔ Maya Sharma",
Ravi Kumar,ravi.kumar@email.com,ravi.kumar,,,,"University of California, San Diego",Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,,"Ananya Singh ↔ Ravi Kumar,Chinonso Okafor ↔ Ravi Kumar,Elena Popova ↔ Ravi Kumar,Hiroshi Sato ↔ Ravi Kumar,Ivan Petrov ↔ Ravi Kumar,Kwame Boateng ↔ Ravi Kumar,Laila Rahman ↔ Ravi Kumar,Leila Haddad ↔ Ravi Kumar,Lucas Evans ↔ Ravi Kumar,Mariam Habib ↔ Ravi Kumar,Maya Cohen ↔ Ravi Kumar,Maya Sharma ↔ Ravi Kumar",,,,"Grace Lee ↔ Ravi Kumar,Maya Cohen ↔ Ravi Kumar,Ivan Petrov ↔ Ravi Kumar,Ananya Singh ↔ Ravi Kumar,Carlos Ramirez ↔ Ravi Kumar","Ravi Kumar ↔ Emily Clark ↔ Grace Lee,Ravi Kumar ↔ Grace Lee ↔ Samuel Lee,Ravi Kumar ↔ Leila Haddad ↔ Rashid Khan",
rec7QwQwQwQwQwQwQ,,,,,,,,,,,,,,,0,NaN,,0,NaN,,0,NaN,,0,NaN,,0,NaN,,0,NaN,,0,NaN,,,0,,,,,,,,
Samantha Evans,samantha.evans@email.com,samantha.evans,,,,Purdue University,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,,"Aaliyah Mohammed ↔ Samantha Evans,Ahmed El-Sayed ↔ Samantha Evans,Alexei Ivanov ↔ Samantha Evans,Anna Müller ↔ Samantha Evans,Ava Williams ↔ Samantha Evans,Aya Nakamura ↔ Samantha Evans,Dariusz Kowalski ↔ Samantha Evans,Diego Torres ↔ Samantha Evans,Emily Brown ↔ Samantha Evans,Ethan Johnson ↔ Samantha Evans,Fatima Al-Farsi ↔ Samantha Evans,Hana Kimura ↔ Samantha Evans,Helena Costa ↔ Samantha Evans,Ivan Horvat ↔ Samantha Evans,Jacob Green ↔ Samantha Evans,Kevin Nguyen ↔ Samantha Evans,Leah Stein ↔ Samantha Evans,Liam O'Connor ↔ Samantha Evans,Lina Svensson ↔ Samantha Evans,Linh Tran ↔ Samantha Evans,Lucas Meyer ↔ Samantha Evans,Maria Rodriguez ↔ Samantha Evans,Mateo Silva ↔ Samantha Evans,Mateusz Zielinski ↔ Samantha Evans",,,,"Emily Brown ↔ Samantha Evans,Helena Costa ↔ Samantha Evans,Linh Tran ↔ Samantha Evans","Samantha Evans ↔ Ahmed Hassan ↔ Anna Müller,Samantha Evans ↔ Ahmed Hassan ↔ Olivia Wilson,Samantha Evans ↔ Ahmed Hassan ↔ Ivan Horvat",
Samir Patel,samir.patel@email.com,samir.patel,,,,Georgia Institute of Technology,Physics,"Studies in libraries, prefers quiet",Become a professor,,12 miles,Online,"University,Struggling Concepts,Meet-up Distance",3,100,19,1,70,13,2,90,17,3,100,19,1,70,13,3,100,19,3,100,19,,,530,,Matthias Engel ↔ Samir Patel,,,,,,
Samuel Brown,samuel.brown@email.com,samuel.brown,,,,Georgia Institute of Technology,Computer Science,"Coding bootcamps, group study",Software developer,Machine learning,9 miles,Hybrid,"Learning Habits,Struggling Concepts,Career Trajectories",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,,,,,,,,
Samuel Green,samuel.green@email.com,samuel.green,,,,Cornell University,Music,"Ensemble practice, composition",Composer,,10 miles,In Person,"Learning Habits,Career Trajectories,Meet-up Mode",0,0,0,1,70,16,3,100,23,2,90,21,3,100,23,1,70,16,1,70,16,,,430,,,,,,,,
Samuel Johnson,samuel.johnson@email.com,samuel.johnson,,,,Georgia Institute of Technology,Computer Science,"Coding bootcamps, group study",Software developer,Machine learning,9 miles,Hybrid,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,,,,,,,,
Samuel Lee,samuel.lee@email.com,samuel.lee,,,,California Institute of Technology (Caltech),Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,,"Ananya Singh ↔ Samuel Lee,Chinonso Okafor ↔ Samuel Lee,Elena Popova ↔ Samuel Lee,Grace Lee ↔ Samuel Lee,Hiroshi Sato ↔ Samuel Lee,Ivan Petrov ↔ Samuel Lee,Kwame Boateng ↔ Samuel Lee,Laila Rahman ↔ Samuel Lee,Leila Haddad ↔ Samuel Lee,Lucas Evans ↔ Samuel Lee,Mariam Habib ↔ Samuel Lee,Maya Cohen ↔ Samuel Lee,Maya Sharma ↔ Samuel Lee",,,,"Maya Sharma ↔ Samuel Lee,Grace Lee ↔ Samuel Lee,Hiroshi Sato ↔ Samuel Lee","Samuel Lee ↔ Aisha Bello ↔ Thiago Pereira,Samuel Lee ↔ Aisha Abdi ↔ Sophie Dubois,Samuel Lee ↔ Ava Thompson ↔ Fatoumata Diallo",
Samuel Mensah,samuel.mensah@email.com,samuel.mensah,,,,Carnegie Mellon University,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,9 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,,"Ahmed El-Sayed ↔ Samuel Mensah,Ahmed Hassan ↔ Samuel Mensah,Alexei Ivanov ↔ Samuel Mensah,Anna Müller ↔ Samuel Mensah,Ava Williams ↔ Samuel Mensah,Aya Nakamura ↔ Samuel Mensah,Dariusz Kowalski ↔ Samuel Mensah,Diego Torres ↔ Samuel Mensah,Emily Brown ↔ Samuel Mensah,Ethan Johnson ↔ Samuel Mensah,Fatima Al-Farsi ↔ Samuel Mensah,Hana Kimura ↔ Samuel Mensah,Helena Costa ↔ Samuel Mensah,Ivan Horvat ↔ Samuel Mensah,Jacob Green ↔ Samuel Mensah,Kevin Nguyen ↔ Samuel Mensah,Leah Stein ↔ Samuel Mensah,Liam O'Connor ↔ Samuel Mensah,Lina Svensson ↔ Samuel Mensah,Linh Tran ↔ Samuel Mensah,Lucas Meyer ↔ Samuel Mensah,Maria Rodriguez ↔ Samuel Mensah,Mateo Silva ↔ Samuel Mensah,Mateusz Zielinski ↔ Samuel Mensah",,,,"Ahmed El-Sayed ↔ Samuel Mensah,Dariusz Kowalski ↔ Samuel Mensah,Emily Brown ↔ Samuel Mensah,Alexei Ivanov ↔ Samuel Mensah,Ethan Johnson ↔ Samuel Mensah","Samuel Mensah ↔ Aaliyah Mohammed ↔ Maria Rodriguez,Samuel Mensah ↔ Aaliyah Mohammed ↔ Victoria Smith,Samuel Mensah ↔ Aaliyah Mohammed ↔ Alexei Ivanov",
Samuel Okafor,samuel.okafor@email.com,samuel.okafor,,,,"University of California, San Diego",Economics,"Case studies, podcasts",Financial consultant,International trade,8 miles,In Person,"Learning Habits,Meet-up Distance,Other",2,90,17,3,100,19,1,70,13,3,100,19,1,70,13,2,90,17,2,90,17,Auditory,,520,,,,,,,,
Samuel Young,samuel.young@email.com,samuel.young,,,,University of Michigan – Ann Arbor,Economics,"Case studies, podcasts",Market analyst,Macroeconomics,4 miles,Hybrid,"University,Career Trajectories,Meet-up Distance,Meet-up Mode",1,70,14,1,70,14,2,90,18,3,100,20,1,70,14,2,90,18,2,90,18,Auditory,,490,,,,,,,,
Sana Qureshi,sana.qureshi@email.com,sana.qureshi,,,,Stanford University,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,9 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,,"Aisha Bello ↔ Sana Qureshi,Ava Thompson ↔ Sana Qureshi,Carlos Ramirez ↔ Sana Qureshi,David Kim ↔ Sana Qureshi,Emily Clark ↔ Sana Qureshi,Fatoumata Diallo ↔ Sana Qureshi,Hannah Müller ↔ Sana Qureshi,Isabella Rossi ↔ Sana Qureshi,Ivan Petrov ↔ Sana Qureshi,Kwame Boateng ↔ Sana Qureshi,Laila Rahman ↔ Sana Qureshi,Leila Haddad ↔ Sana Qureshi,Lucas Evans ↔ Sana Qureshi,Mariam Habib ↔ Sana Qureshi,Maya Cohen ↔ Sana Qureshi,Maya Sharma ↔ Sana Qureshi",,,,"Aisha Bello ↔ Sana Qureshi,Chinonso Okafor ↔ Sana Qureshi","Sana Qureshi ↔ Laila Rahman ↔ Sophie Dubois,Sana Qureshi ↔ Aisha Abdi ↔ Hiroshi Sato,Sana Qureshi ↔ Aisha Abdi ↔ Svetlana Ivanova",
Santiago Lopez,santiago.lopez@email.com,santiago.lopez,,,,"University of California, Berkeley",Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,,"Aaliyah Mohammed ↔ Santiago Lopez,Ahmed El-Sayed ↔ Santiago Lopez,Ahmed Hassan ↔ Santiago Lopez,Alexei Ivanov ↔ Santiago Lopez,Anna Müller ↔ Santiago Lopez,Aya Nakamura ↔ Santiago Lopez,Dariusz Kowalski ↔ Santiago Lopez,Diego Torres ↔ Santiago Lopez,Emily Brown ↔ Santiago Lopez,Ethan Johnson ↔ Santiago Lopez,Fatima Al-Farsi ↔ Santiago Lopez,Hana Kimura ↔ Santiago Lopez,Helena Costa ↔ Santiago Lopez,Ivan Horvat ↔ Santiago Lopez,Jacob Green ↔ Santiago Lopez,Kevin Nguyen ↔ Santiago Lopez,Leah Stein ↔ Santiago Lopez,Liam O'Connor ↔ Santiago Lopez,Lina Svensson ↔ Santiago Lopez,Linh Tran ↔ Santiago Lopez,Maria Rodriguez ↔ Santiago Lopez,Mateo Silva ↔ Santiago Lopez",,,,"Emily Brown ↔ Santiago Lopez,Aya Nakamura ↔ Santiago Lopez","Santiago Lopez ↔ Ethan Johnson ↔ Lucas Meyer,Santiago Lopez ↔ Lucas Meyer ↔ Wei Zhang,Santiago Lopez ↔ Aya Nakamura ↔ Lucas Meyer",
Sara Ahmed,sara.ahmed@email.com,sara.ahmed,,,,Purdue University,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,,"Ananya Singh ↔ Sara Ahmed,Chinonso Okafor ↔ Sara Ahmed,Elena Popova ↔ Sara Ahmed,Grace Lee ↔ Sara Ahmed,Hiroshi Sato ↔ Sara Ahmed,Ivan Petrov ↔ Sara Ahmed,Kwame Boateng ↔ Sara Ahmed,Laila Rahman ↔ Sara Ahmed,Leila Haddad ↔ Sara Ahmed,Lucas Evans ↔ Sara Ahmed,Mariam Habib ↔ Sara Ahmed,Maya Sharma ↔ Sara Ahmed",,,,Hiroshi Sato ↔ Sara Ahmed,"Sara Ahmed ↔ Maya Cohen ↔ Ravi Kumar,Sara Ahmed ↔ Aisha Abdi ↔ Sophie Dubois,Sara Ahmed ↔ Ava Thompson ↔ Fatoumata Diallo",
Sara Svensson,sara.svensson@email.com,sara.svensson,,,,"University of California, Los Angeles",Psychology,"Case studies, group analysis",Therapist,Developmental psychology,11 miles,In Person,"Degree,Learning Habits,Struggling Concepts",2,90,17,2,90,17,3,100,19,1,70,13,2,90,17,3,100,19,3,100,19,Reading/Writing,,540,,,,,,,,
Sebastian Busch,sebastian.busch@email.com,sebastian.busch,,,,Florida International University,Mathematics,"Problem sets, peer tutoring",Data scientist,Struggles with probability,11 miles,Hybrid,"Degree,Meet-up Distance,Meet-up Mode",3,100,23,2,90,20,2,90,20,1,70,16,2,90,20,0,0,0,0,0,0,3,,440,,,,,,,,
Sibel Yilmaz,sibel.yilmaz@email.com,sibel.yilmaz,,,,University of Michigan – Ann Arbor,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,9 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,,"Aaliyah Mohammed ↔ Sibel Yilmaz,Ahmed El-Sayed ↔ Sibel Yilmaz,Ahmed Hassan ↔ Sibel Yilmaz,Alexei Ivanov ↔ Sibel Yilmaz,Anna Müller ↔ Sibel Yilmaz,Ava Williams ↔ Sibel Yilmaz,Dariusz Kowalski ↔ Sibel Yilmaz,Diego Torres ↔ Sibel Yilmaz,Emily Brown ↔ Sibel Yilmaz,Ethan Johnson ↔ Sibel Yilmaz,Fatima Al-Farsi ↔ Sibel Yilmaz,Hana Kimura ↔ Sibel Yilmaz,Helena Costa ↔ Sibel Yilmaz,Ivan Horvat ↔ Sibel Yilmaz,Jacob Green ↔ Sibel Yilmaz,Kevin Nguyen ↔ Sibel Yilmaz,Leah Stein ↔ Sibel Yilmaz,Liam O'Connor ↔ Sibel Yilmaz,Lina Svensson ↔ Sibel Yilmaz,Linh Tran ↔ Sibel Yilmaz,Lucas Meyer ↔ Sibel Yilmaz,Maria Rodriguez ↔ Sibel Yilmaz,Mateo Silva ↔ Sibel Yilmaz,Mateusz Zielinski ↔ Sibel Yilmaz",,,,Ethan Johnson ↔ Sibel Yilmaz,"Sibel Yilmaz ↔ Jacob Green ↔ Pedro Alvarez,Sibel Yilmaz ↔ Ahmed Hassan ↔ Aya Nakamura,Sibel Yilmaz ↔ Aya Nakamura ↔ Liam O'Connor",
Sienna Murphy,sienna.murphy@email.com,sienna.murphy,Notes not provided,,,Stanford University,Biology,"Group study, flashcards",Research scientist,Genetics,8 miles,In Person,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode,Other",2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,,"Amina Yusuf ↔ Sienna Murphy,Andres Gomez ↔ Sienna Murphy,Arjun Desai ↔ Sienna Murphy,Benjamin Cohen ↔ Sienna Murphy,Gabriel Souza ↔ Sienna Murphy,Jamal Carter ↔ Sienna Murphy,Jin Park ↔ Sienna Murphy,Juan Martinez ↔ Sienna Murphy,Julia Nowak ↔ Sienna Murphy,Marta Kowalczyk ↔ Sienna Murphy",,None,None,,"Sienna Murphy ↔ Jin Park ↔ Nia Williams,Sienna Murphy ↔ Amina Yusuf ↔ Nia Williams,Sienna Murphy ↔ Andres Gomez ↔ Nia Williams",
Simon Graf,simon.graf@email.com,simon.graf,,,,University of Michigan – Ann Arbor,Electrical Engineering,"Lab work, coding competitions",Hardware designer,Struggles with circuit analysis,7 miles,In Person,"Degree,Learning Habits,Struggling Concepts",3,100,18,3,100,18,3,100,18,3,100,18,2,90,16,1,70,13,1,70,13,Visual,,560,,,,,,,,
Sina Krüger,sina.kruger@email.com,sina.kruger,,,,Purdue University,Mechanical Engineering,"Likes solo study, visual learner",Design sustainable vehicles,Struggles with thermodynamics,8 miles,In Person,"Degree,Learning Habits,Struggling Concepts",3,100,18,3,100,18,3,100,18,1,70,13,2,90,16,2,90,16,2,90,16,1,,550,,Maria Lopez ↔ Sina Krüger,,,,,,
